"year","site","season","fakedate","C3_forb","C3_grass","C3_shrub_subshrub","C4_forb","C4_grass","CAM","<NA>","season.precip","season.temp","minimum.temp","maximum.temp","Cricetid","Heteromyid","Scurid"
"58",2013,"C","2",2013-10-01,1.928,0,10.0625,3.11625,8.5615,0.2125,6.14025,240,20.4878048780488,-1.3,36,0,9.55555555555556,0
"59",2013,"G","1",2013-04-01,0.000333333333333333,0,0.5,0,6.867,0,0.0886666666666667,36.7,10.6210743801653,-16.7,40.7,1,4.66666666666667,1
"60",2013,"G","2",2013-10-01,6.77666666666667,0,0.6,23.7616666666667,37.19,0,11.6916666666667,240,20.4878048780488,-1.3,36,NA,NA,NA
"61",2014,"C","1",2014-04-01,0.0755,0,7.4915,0,0.5805,0.0375,0.92225,41.1,10.9849372384937,-15.3,39.2,9,42.6666666666667,0.111111111111111
"62",2014,"C","2",2014-10-01,0.573,0,10.76325,0.15125,3.5995,0.0375,3.10075,181.3,21.5536585365854,2.7,38.6,9,35.4444444444444,0.888888888888889
"63",2014,"G","1",2014-04-01,0.121,0,1.00166666666667,0,27.3873333333333,0,1.008,41.1,10.9849372384937,-15.3,39.2,1.5,24.5,1.16666666666667
"64",2014,"G","2",2014-10-01,0.191666666666667,0,1.53333333333333,0.00333333333333333,35.425,0,3.46333333333333,181.3,21.5536585365854,2.7,38.6,2.22222222222222,11.7777777777778,1.11111111111111
"65",2015,"C","1",2015-04-01,0.56175,0,24.551,0,0.71075,0.05,1.674875,122.9,10.9416666666667,-13.8,39.5,4.11111111111111,15.6666666666667,0.333333333333333
"66",2015,"C","2",2015-10-01,0.875,0,11.3725,0,1.82875,0.05,2.8395,103.1,22.120325203252,1.6,37.3,5.11111111111111,24.2222222222222,1
"67",2015,"G","1",2015-04-01,0.448666666666667,0,0.5,0,29.455,0,2.911,122.9,10.9416666666667,-13.8,39.5,5.55555555555556,8,2.33333333333333
"68",2015,"G","2",2015-10-01,0.07,0,0.966666666666667,0,39.6483333333333,0,3.11,103.1,22.120325203252,1.6,37.3,NA,NA,NA
"69",2016,"C","1",2016-04-01,2.1645,0,12.5175,0,1.0855,0.05,2.9925,86.5,10.6736625514403,-13.6,38.7,1.11111111111111,10.7777777777778,0
"70",2016,"C","2",2016-10-01,0.724,0.0125,15.17125,0,1.50175,0.05,3.58025,98.2,24.538961038961,10.5,38,0.888888888888889,7.33333333333333,0.777777777777778
"71",2016,"G","1",2016-04-01,3.22866666666667,0,0.933333333333333,0,28.6186666666667,0,5.58316666666667,86.5,10.6736625514403,-13.6,38.7,1.22222222222222,4.11111111111111,0.666666666666667
"72",2016,"G","2",2016-10-01,1.132,0,1.20333333333333,0,30.8466666666667,0,4.18333333333333,98.2,24.538961038961,10.5,38,0.444444444444444,6.11111111111111,0.222222222222222
